V (V)	I (A)
7.948E-4	3.640E-6
8.347E-4	4.115E-6
4.971E-2	1.223E-4
7.359E-2	3.290E-4
9.356E-2	6.655E-4
1.353E-1	2.082E-3
1.542E-1	3.197E-3
8.592E-1	1.010E-1
8.593E-1	1.009E-1
8.593E-1	1.009E-1
8.594E-1	1.009E-1
8.594E-1	1.009E-1
8.595E-1	1.009E-1
8.595E-1	1.009E-1
8.595E-1	1.009E-1
8.596E-1	1.009E-1
8.597E-1	1.009E-1
8.423E-1	9.555E-2
8.299E-1	9.180E-2
8.226E-1	8.875E-2
8.153E-1	8.745E-2
7.936E-1	8.100E-2
7.829E-1	7.794E-2
7.619E-1	7.210E-2
7.497E-1	6.850E-2
7.380E-1	6.565E-2
7.196E-1	6.073E-2
7.053E-1	5.747E-2
6.989E-1	5.549E-2
6.869E-1	5.253E-2
6.705E-1	4.837E-2
6.593E-1	4.577E-2
6.404E-1	4.072E-2
6.217E-1	3.682E-2
6.154E-1	3.642E-2
6.154E-1	3.642E-2
6.097E-1	3.488E-2
5.922E-1	3.061E-2
5.704E-1	2.771E-2
5.705E-1	2.771E-2
5.570E-1	2.531E-2
5.363E-1	2.140E-2
5.160E-1	1.778E-2
4.813E-1	1.372E-2
4.654E-1	1.145E-2
4.422E-1	9.249E-3
4.169E-1	7.127E-3
3.568E-1	3.847E-3
3.557E-1	3.808E-3
3.368E-1	3.247E-3
3.059E-1	5.897E-3
2.679E-1	6.388E-3
2.629E-1	6.449E-3
2.362E-1	7.393E-3
2.153E-1	8.401E-3
3.656E-1	4.181E-3
3.301E-1	3.096E-3
3.138E-1	3.358E-3
2.951E-1	5.801E-3
2.730E-1	6.258E-3
2.673E-1	6.395E-3
2.548E-1	6.625E-3
2.413E-1	7.132E-3
2.142E-1	8.307E-3
2.031E-1	7.267E-3
1.718E-1	4.430E-3
1.569E-1	3.309E-3
1.502E-1	2.869E-3
1.428E-1	2.432E-3
1.335E-1	1.960E-3
1.254E-1	1.610E-3
1.118E-1	1.123E-3
1.036E-1	8.901E-4
9.303E-2	6.394E-4
7.796E-2	3.787E-4
6.671E-2	2.455E-4
5.429E-2	1.459E-4
4.922E-2	1.180E-4
4.074E-2	7.350E-5
3.791E-2	7.041E-5
3.297E-2	5.534E-5
2.917E-2	4.542E-5
1.783E-2	2.483E-5
1.098E-2	1.593E-5
7.155E-3	1.038E-5
9.058E-3	1.285E-5
2.202E-3	5.222E-6
9.033E-3	1.273E-5
5.848E-3	9.274E-6
3.657E-2	6.477E-5
3.422E-2	5.823E-5
2.980E-2	4.603E-5
6.604E-2	2.387E-4
7.603E-2	3.528E-4
8.603E-2	5.072E-4
1.048E-1	9.259E-4
1.166E-1	1.285E-3
1.239E-1	1.574E-3
1.364E-1	2.108E-3
1.533E-1	3.160E-3
1.619E-1	3.677E-3
1.711E-1	4.394E-3
1.864E-1	5.724E-3
1.778E-1	4.954E-3
1.945E-1	6.475E-3
1.815E-1	5.282E-3
9.110E-2	6.020E-4
8.602E-2	5.070E-4
6.670E-2	2.457E-4
5.110E-2	1.276E-4
5.980E-2	1.852E-4
6.107E-2	1.952E-4
3.915E-2	7.430E-5
3.975E-2	7.660E-5
1.780E-2	2.558E-5
2.661E-2	4.009E-5
2.323E-1	8.316E-3
2.509E-1	6.736E-3
2.698E-1	6.336E-3
2.698E-1	6.341E-3
2.698E-1	6.340E-3
2.874E-1	5.944E-3
2.993E-1	5.684E-3
3.219E-1	3.053E-3
3.019E-1	5.645E-3
3.137E-1	3.352E-3
3.051E-1	5.198E-3
3.098E-1	3.755E-3
3.065E-1	4.484E-3
3.064E-1	4.498E-3
3.393E-1	3.315E-3
3.592E-1	3.949E-3
3.663E-1	4.342E-3
3.827E-1	5.032E-3
3.835E-1	5.032E-3
3.989E-1	5.916E-3
4.101E-1	6.660E-3
4.107E-1	6.704E-3
4.186E-1	7.298E-3
4.298E-1	8.214E-3
4.463E-1	9.764E-3
4.579E-1	1.099E-2
4.854E-1	1.433E-2
4.987E-1	1.642E-2
5.133E-1	1.828E-2
5.267E-1	2.035E-2
5.407E-1	2.262E-2
5.527E-1	2.466E-2
5.733E-1	2.833E-2
6.040E-1	3.423E-2
6.232E-1	3.816E-2
6.280E-1	3.918E-2
6.381E-1	4.135E-2
6.485E-1	4.371E-2
6.585E-1	4.630E-2
6.662E-1	4.771E-2
6.840E-1	5.196E-2
7.077E-1	5.788E-2
7.172E-1	6.031E-2
7.172E-1	6.031E-2
2.221E-1	8.989E-3
8.269E-1	9.107E-2
8.122E-1	8.669E-2
8.069E-1	8.460E-2
7.869E-1	7.933E-2
7.761E-1	7.580E-2
7.644E-1	7.297E-2
7.456E-1	6.777E-2
7.279E-1	6.186E-2
7.349E-1	6.490E-2
