V (V)	I (A)
7.331E-2	6.129E-5
1.240E-1	3.853E-4
1.433E-1	7.281E-4
1.658E-1	1.430E-3
2.016E-1	3.548E-3
2.212E-1	5.314E-3
2.377E-1	7.119E-3
1.651E-1	1.404E-3
7.331E-2	6.153E-5
1.064E-1	2.090E-4
3.002E-2	1.197E-5
3.807E-2	1.590E-5
4.438E-2	2.076E-5
6.126E-2	3.977E-5
7.008E-2	5.392E-5
5.000E-2	2.572E-5
5.615E-2	3.147E-5
8.384E-2	9.128E-5
9.688E-2	1.480E-4
1.158E-1	2.915E-4
1.252E-1	4.010E-4
1.469E-1	8.158E-4
1.836E-1	2.312E-3
1.873E-1	2.536E-3
2.101E-1	4.261E-3
2.334E-1	6.626E-3
2.364E-1	6.963E-3
2.536E-1	9.162E-3
2.590E-1	9.929E-3
2.730E-1	1.213E-2
2.976E-1	1.681E-2
3.066E-1	1.881E-2
3.280E-1	2.411E-2
3.433E-1	2.832E-2
3.744E-1	3.766E-2
3.949E-1	4.419E-2
4.188E-1	5.199E-2
4.451E-1	6.038E-2
4.645E-1	6.573E-2
5.174E-1	4.532E-2
5.967E-1	1.699E-2
4.825E-1	5.320E-2
5.130E-1	4.588E-2
5.349E-1	4.337E-2
5.525E-1	4.018E-2
5.880E-1	1.688E-2
5.879E-1	1.689E-2
5.570E-1	3.691E-2
5.812E-1	1.884E-2
8.309E-1	3.975E-2
8.268E-1	3.880E-2
8.172E-1	3.671E-2
8.123E-1	3.570E-2
8.076E-1	3.476E-2
8.052E-1	3.428E-2
7.943E-1	3.228E-2
7.859E-1	3.086E-2
7.811E-1	3.008E-2
7.793E-1	2.980E-2
7.768E-1	2.943E-2
7.744E-1	2.907E-2
7.647E-1	2.772E-2
7.622E-1	2.739E-2
7.353E-1	2.434E-2
7.286E-1	2.371E-2
7.188E-1	2.285E-2
7.090E-1	2.209E-2
6.898E-1	2.081E-2
6.799E-1	2.024E-2
6.712E-1	1.978E-2
6.594E-1	1.921E-2
6.526E-1	1.891E-2
6.462E-1	1.862E-2
6.309E-1	1.805E-2
6.278E-1	1.793E-2
6.184E-1	1.761E-2
6.165E-1	1.755E-2
6.066E-1	1.724E-2
6.066E-1	1.724E-2
5.941E-1	1.692E-2
5.859E-1	1.717E-2
5.785E-1	1.940E-2
5.734E-1	2.235E-2
5.464E-1	4.190E-2
5.347E-1	4.339E-2
5.258E-1	4.437E-2
5.078E-1	4.671E-2
4.934E-1	4.938E-2
4.768E-1	6.102E-2
4.580E-1	6.398E-2
4.506E-1	6.162E-2
4.410E-1	5.896E-2
4.293E-1	5.522E-2
4.235E-1	5.334E-2
3.855E-1	4.103E-2
4.030E-1	4.668E-2
4.064E-1	4.778E-2
4.152E-1	5.068E-2
4.152E-1	5.068E-2
3.719E-1	3.675E-2
3.561E-1	3.194E-2
3.696E-1	3.602E-2
3.261E-1	2.350E-2
3.261E-1	2.350E-2
3.106E-1	1.871E-2
2.100E-1	4.222E-3
2.638E-1	1.060E-2
2.699E-1	1.156E-2
2.897E-1	1.513E-2
3.017E-1	1.763E-2
3.017E-1	1.764E-2
3.279E-1	2.400E-2
5.609E-1	3.369E-2
5.691E-1	2.507E-2
5.650E-1	2.909E-2
7.489E-1	2.576E-2
8.499E-1	4.440E-2
8.522E-1	4.502E-2
8.593E-1	4.694E-2
8.617E-1	4.763E-2
8.693E-1	4.979E-2
8.723E-1	5.066E-2
8.787E-1	5.264E-2
8.788E-1	5.264E-2
8.818E-1	5.356E-2
8.835E-1	5.413E-2
8.870E-1	5.519E-2
8.940E-1	5.748E-2
9.004E-1	5.962E-2
9.080E-1	6.220E-2
9.115E-1	6.344E-2
9.161E-1	6.509E-2
9.190E-1	6.617E-2
9.208E-1	6.681E-2
9.271E-1	6.913E-2
9.300E-1	7.021E-2
9.329E-1	7.130E-2
9.346E-1	7.195E-2
9.426E-1	7.506E-2
9.438E-1	7.552E-2
9.467E-1	7.667E-2
9.530E-1	7.917E-2
9.553E-1	8.013E-2
9.553E-1	8.010E-2
9.594E-1	8.178E-2
9.622E-1	8.289E-2
9.622E-1	8.291E-2
9.702E-1	8.628E-2
1.368E-1	5.823E-4
1.717E-1	1.669E-3
1.567E-1	1.088E-3
9.310E-2	1.274E-4
9.399E-4	3.386E-6
