V (V)	I (A)
7.865E-4	3.725E-6
9.928E-1	8.192E-3
9.892E-1	7.783E-3
9.834E-1	7.102E-3
9.720E-1	6.103E-3
9.647E-1	5.466E-3
9.562E-1	4.651E-3
9.505E-1	4.379E-3
9.399E-1	3.681E-3
9.305E-1	3.111E-3
9.223E-1	2.656E-3
9.171E-1	2.478E-3
9.121E-1	2.260E-3
9.040E-1	1.946E-3
8.954E-1	1.651E-3
8.872E-1	1.409E-3
8.803E-1	1.229E-3
8.735E-1	1.073E-3
8.635E-1	8.746E-4
8.552E-1	7.144E-4
8.467E-1	6.161E-4
8.404E-1	5.394E-4
8.332E-1	4.511E-4
8.247E-1	3.852E-4
8.215E-1	3.437E-4
8.116E-1	2.887E-4
8.066E-1	2.593E-4
8.034E-1	2.422E-4
7.969E-1	2.056E-4
7.866E-1	1.675E-4
7.796E-1	1.444E-4
7.683E-1	1.128E-4
7.578E-1	9.045E-5
7.465E-1	7.205E-5
7.364E-1	5.721E-5
7.326E-1	5.415E-5
7.258E-1	4.748E-5
7.145E-1	3.821E-5
7.066E-1	3.297E-5
6.999E-1	2.942E-5
6.938E-1	2.542E-5
6.898E-1	2.368E-5
6.859E-1	2.235E-5
6.778E-1	2.053E-5
6.643E-1	1.749E-5
6.576E-1	1.554E-5
6.456E-1	1.315E-5
6.416E-1	1.282E-5
6.355E-1	1.159E-5
6.304E-1	1.098E-5
6.190E-1	9.901E-6
6.098E-1	9.054E-6
6.004E-1	8.421E-6
5.941E-1	8.641E-6
5.929E-1	8.438E-6
5.803E-1	7.635E-6
5.715E-1	8.020E-6
5.633E-1	7.534E-6
5.595E-1	7.110E-6
5.537E-1	6.053E-6
5.413E-1	6.550E-6
5.393E-1	6.217E-6
5.313E-1	6.432E-6
5.280E-1	5.708E-6
5.232E-1	6.562E-6
5.106E-1	6.398E-6
4.944E-1	6.545E-6
4.843E-1	5.420E-6
4.743E-1	5.838E-6
4.642E-1	4.979E-6
4.614E-1	4.821E-6
4.550E-1	4.889E-6
4.408E-1	5.228E-6
4.291E-1	4.719E-6
4.247E-1	5.036E-6
4.171E-1	4.567E-6
4.096E-1	3.657E-6
4.059E-1	3.759E-6
4.022E-1	3.465E-6
3.883E-1	3.838E-6
3.746E-1	4.058E-6
3.665E-1	4.420E-6
3.553E-1	5.064E-6
3.483E-1	4.352E-6
3.414E-1	4.589E-6
3.363E-1	4.844E-6
3.329E-1	4.567E-6
3.236E-1	4.685E-6
3.145E-1	4.380E-6
3.032E-1	5.234E-6
2.963E-1	4.250E-6
2.884E-1	4.329E-6
2.728E-1	3.759E-6
2.613E-1	4.912E-6
2.573E-1	4.431E-6
2.573E-1	4.047E-6
2.505E-1	5.126E-6
2.410E-1	4.556E-6
2.247E-1	3.894E-6
2.160E-1	3.872E-6
2.110E-1	4.556E-6
2.022E-1	4.222E-6
1.909E-1	3.442E-6
1.802E-1	3.945E-6
1.740E-1	4.301E-6
1.652E-1	4.284E-6
1.602E-1	3.657E-6
1.502E-1	3.510E-6
1.439E-1	3.736E-6
1.369E-1	3.606E-6
1.257E-1	4.262E-6
1.207E-1	4.024E-6
1.181E-1	3.968E-6
1.100E-1	3.199E-6
1.031E-1	4.053E-6
9.808E-2	3.951E-6
8.999E-2	4.143E-6
8.313E-2	2.645E-6
7.804E-2	3.352E-6
7.185E-2	4.177E-6
6.493E-2	4.623E-6
6.137E-2	4.646E-6
4.489E-2	3.278E-6
3.763E-2	3.651E-6
3.601E-2	3.386E-6
2.917E-2	4.075E-6
2.595E-2	3.725E-6
1.908E-2	3.815E-6
5.872E-3	3.318E-6
9.629E-4	3.945E-6
2.410E-1	4.669E-6
2.768E-1	4.595E-6
3.064E-1	3.747E-6
3.211E-1	3.996E-6
3.391E-1	3.894E-6
3.583E-1	4.205E-6
4.019E-1	5.245E-6
4.066E-1	5.748E-6
4.235E-1	5.804E-6
4.591E-1	6.132E-6
5.164E-1	6.398E-6
5.614E-1	7.522E-6
8.015E-1	2.335E-4
7.783E-1	1.408E-4
7.726E-1	1.221E-4
7.578E-1	9.115E-5
7.513E-1	7.709E-5
7.238E-1	4.593E-5
9.069E-1	2.158E-3
9.042E-1	1.830E-3
8.792E-1	1.201E-3
8.736E-1	9.955E-4
8.466E-1	5.659E-4
8.148E-1	2.832E-4
8.039E-1	2.331E-4
7.766E-1	1.344E-4
7.368E-1	5.121E-5
7.088E-1	3.307E-5
6.894E-1	2.418E-5
6.819E-1	2.169E-5
6.592E-1	1.598E-5
6.564E-1	1.482E-5
6.468E-1	1.398E-5
6.347E-1	1.258E-5
6.255E-1	1.168E-5
6.224E-1	1.125E-5
6.198E-1	1.079E-5
6.129E-1	1.068E-5
6.054E-1	1.023E-5
