V (V)	I (A)
7.361E-4	1.662E-7
1.954E-2	1.648E-7
4.970E-2	1.691E-7
7.170E-2	1.644E-7
7.981E-2	1.629E-7
1.100E-1	1.692E-7
1.401E+0	6.400E-7
1.393E+0	6.341E-7
1.377E+0	6.225E-7
1.360E+0	6.009E-7
1.341E+0	5.919E-7
1.332E+0	5.827E-7
1.325E+0	5.741E-7
1.294E+0	5.547E-7
1.271E+0	5.288E-7
1.267E+0	5.385E-7
1.258E+0	5.257E-7
1.246E+0	5.201E-7
1.239E+0	5.111E-7
1.223E+0	4.951E-7
1.191E+0	4.801E-7
1.176E+0	4.738E-7
1.155E+0	4.604E-7
1.149E+0	4.561E-7
1.139E+0	4.480E-7
1.133E+0	4.453E-7
1.112E+0	4.310E-7
1.087E+0	4.174E-7
1.059E+0	4.040E-7
1.043E+0	4.014E-7
1.025E+0	3.939E-7
1.010E+0	3.905E-7
9.885E-1	3.798E-7
9.750E-1	3.622E-7
9.440E-1	3.541E-7
9.289E-1	3.532E-7
9.194E-1	3.476E-7
9.138E-1	3.433E-7
8.944E-1	3.342E-7
8.805E-1	3.293E-7
8.568E-1	3.192E-7
8.449E-1	3.094E-7
8.404E-1	3.030E-7
8.336E-1	2.981E-7
8.269E-1	2.955E-7
8.028E-1	2.971E-7
7.935E-1	2.869E-7
7.782E-1	2.831E-7
7.733E-1	2.827E-7
7.568E-1	2.793E-7
7.345E-1	2.694E-7
7.314E-1	2.662E-7
7.214E-1	2.688E-7
7.136E-1	2.633E-7
7.057E-1	2.639E-7
6.967E-1	2.635E-7
6.844E-1	2.560E-7
6.788E-1	2.590E-7
6.334E-1	2.407E-7
6.185E-1	2.430E-7
5.678E-1	2.286E-7
5.677E-1	2.315E-7
5.591E-1	2.257E-7
5.394E-1	2.144E-7
5.358E-1	2.211E-7
5.174E-1	2.181E-7
5.062E-1	2.132E-7
5.034E-1	2.108E-7
4.839E-1	2.118E-7
4.743E-1	2.091E-7
4.467E-1	2.053E-7
4.351E-1	2.071E-7
4.212E-1	2.037E-7
4.135E-1	1.930E-7
4.059E-1	2.051E-7
3.865E-1	1.946E-7
3.836E-1	1.880E-7
3.730E-1	1.906E-7
3.690E-1	1.871E-7
3.633E-1	1.814E-7
3.575E-1	1.892E-7
3.532E-1	1.849E-7
3.464E-1	1.847E-7
3.394E-1	1.829E-7
3.336E-1	1.774E-7
3.181E-1	1.884E-7
3.148E-1	1.895E-7
3.057E-1	1.837E-7
2.957E-1	1.860E-7
2.913E-1	1.765E-7
2.805E-1	1.785E-7
2.774E-1	1.660E-7
2.716E-1	1.660E-7
2.643E-1	1.782E-7
2.473E-1	1.699E-7
2.421E-1	1.711E-7
2.104E-1	1.672E-7
1.960E-1	1.610E-7
1.827E-1	1.646E-7
1.678E-1	1.533E-7
1.620E-1	1.556E-7
1.570E-1	1.649E-7
1.458E-1	1.661E-7
1.335E-1	1.586E-7
1.200E-1	1.622E-7
1.139E-1	1.630E-7
1.136E-1	1.627E-7
1.068E-1	1.615E-7
1.068E-1	1.591E-7
1.219E-1	1.572E-7
1.219E-1	1.637E-7
2.047E-1	1.767E-7
2.241E-1	1.776E-7
2.624E-1	1.764E-7
2.793E-1	1.783E-7
2.856E-1	1.834E-7
3.057E-1	1.868E-7
3.232E-1	1.875E-7
3.746E-1	1.873E-7
4.523E-1	2.046E-7
6.737E-1	2.553E-7
6.486E-1	2.474E-7
6.374E-1	2.455E-7
6.385E-1	2.419E-7
6.235E-1	2.442E-7
5.916E-1	2.319E-7
6.003E-1	2.353E-7
6.298E-1	2.399E-7
7.024E-1	2.587E-7
7.180E-1	2.643E-7
7.508E-1	2.791E-7
7.883E-1	2.864E-7
8.003E-1	3.025E-7
8.604E-1	3.198E-7
8.609E-1	3.153E-7
8.798E-1	3.223E-7
8.893E-1	3.210E-7
8.893E-1	3.291E-7
9.018E-1	3.264E-7
9.176E-1	3.388E-7
9.288E-1	3.335E-7
9.589E-1	3.551E-7
9.865E-1	3.646E-7
1.040E+0	3.965E-7
1.063E+0	4.113E-7
1.069E+0	4.094E-7
1.071E+0	4.079E-7
1.086E+0	4.205E-7
1.092E+0	4.227E-7
1.096E+0	4.192E-7
